v1	736.5706359999022	-433.8264119999367	4	17	19
v2	751.8024429999059	-477.6853739999933	1	8	17
v3	720.5826399999205	-466.6666199999745	4	9	17
v4	764.5496290000156	-432.74614199995995	5	11	18
v5	232.6246810000157	-321.9104399999487	6	10	12
v6	777.728923000046	-474.76864499994554	0	5	22
v7	293.11980099999346	-406.38755399995716	12	17	18
v8	265.2488349999767	-404.4430679999641	5	16	22
v9	278.4281290000072	-404.55109500000253	0	5	21
v10	249.26083900011145	-569.1842429999379	3	9	16
v11	297.65693499997724	-515.6028509999742	4	13	17
v12	258.4431339999428	-500.2630169999902	4	9	17
v13	328.552657000022	-248.34405299997889	13	16	17
v14	336.9787629999919	-431.557845000003	4	6	18
v15	334.4941420000978	-449.7063809999963	13	16	17
v16	330.8212239999557	-401.74239299993496	0	6	21
v17	365.2818369999295	-394.72063799999887	6	12	18
v18	319.8024699999951	-404.01096000004327	6	15	22
v19	344.54065300000366	-398.9336909999838	4	6	22
v20	394.6651810000185	-161.59837199997855	5	9	11
v21	371.11529500002507	-500.58709799998906	16	17	22
v22	313.8609850000357	-304.19401199999265	4	6	10
v23	355.9915150000015	-295.3357979999855	1	3	21
v24	326.60817099991255	-301.70939099998213	4	5	18
v25	338.92324899998493	-307.1107409999822	0	6	13
v26	374.35610499989707	-292.41906899999594	6	16	21
v27	402.98326000000816	-328.1760059999651	6	16	19
v28	423.5083899999736	-322.9907100000419	6	8	16
v29	397.47388299996965	-286.4775839999784	5	16	19
v30	442.08903399994597	-302.1414990000194	5	12	22
v31	384.8347239999566	-290.25852899998426	16	17	21
v32	437.4438730000984	-487.29977700003656	6	10	12
v33	510.47012499999255	-204.91719900001772	5	12	22
v34	488.00050899991766	-196.92320099996869	3	16	22
v35	399.5263959999429	-386.72663999994984	4	13	17
v36	391.5323980000103	-389.427314999979	4	6	7
v37	443.1693039999809	-378.84066899999743	6	13	16
v38	442.62916899996344	-394.39655700000003	5	7	16
v39	480.87072699994314	-430.9096830000053	6	14	16
v40	510.7942059999332	-421.18725299998187	14	16	17
v41	485.8399689999642	-418.70263200002955	4	5	14
v42	460.66967800003476	-521.976444000029	8	11	17
v43	508.7416929999599	-527.9179289999302	4	6	8
v44	474.0650260000257	-519.4918229999603	0	3	18
v45	582.7401880000252	-167.97196499997517	5	14	16
v46	549.0357640000293	-243.59086499997647	4	17	22
v47	557.6779239999596	-241.75440599996364	0	17	21
v48	544.8227109998697	-236.0289749999647	1	9	17
v49	449.65092399995774	-485.78739900002256	4	17	18
v50	514.3590969999786	-482.76264299993636	0	5	8
v51	474.2810799998697	-382.94569500000216	4	14	17
v52	462.07402900001034	-375.4918320000288	5	11	21
v53	476.11753900011536	-393.74839500000235	12	17	19
v54	478.49413299991284	-404.9832029999816	0	3	19
v55	546.8752239999594	-392.99220599996625	1	7	17
v56	554.0050059999339	-415.67787599994335	0	6	9
v57	558.2180589999771	-463.4258100000443	0	2	6
v58	587.7094299999299	-446.5735979999881	2	16	17
v59	585.872970999917	-457.70037899992894	2	4	17
v60	572.2615689999657	-460.4010539999581	1	17	19
v61	615.256315000006	-216.3680610000156	5	10	16
v62	646.3680910000112	-318.6696300000185	16	17	19
v63	570.533136999933	-514.8466619999381	10	12	17
v64	544.0665220000083	-481.4663189999992	7	12	17
v65	561.999003999983	-501.23526000004495	0	6	7
v66	547.9554939999944	-503.9359350000159	0	6	9
v67	583.2803230000427	-505.12423200003104	6	7	15
v68	592.4626179999905	-264.1159950000001	16	17	21
v69	607.6944249999942	-261.19926600001054	2	6	16
v70	636.1055260000285	-297.17225700005656	5	12	18
v71	604.4536150000058	-297.4963379999972	4	6	8
v72	615.9044769998873	-258.4985909999814	16	17	22
v73	657.7109260000288	-247.15575599996373	5	13	16
v74	630.3800950000295	-403.25477100000717	4	6	14
v75	661.923979000072	-394.9366919999593	3	15	19
v76	619.1452869999921	-488.5961009999737	4	5	14
v77	601.212804999901	-475.74088800000027	7	16	17
v78	630.7041760000866	-516.0349589999532	0	6	7
v79	601.1047780000372	-454.2435149999801	4	5	9
v80	697.4648619999643	-343.08373200002825	2	4	6
v81	673.8069489999907	-386.07847800001036	0	6	7
v82	671.6464089999208	-508.47306899999967	1	6	20
v83	689.4708640000317	-486.003452999983	0	7	17
v84	672.6186519999756	-492.80915399995865	4	6	9
v85	664.0845190000255	-449.3822999999975	4	17	18
v86	841.4648530000122	-368.79415799997514	4	6	19
v87	814.4581029999536	-306.2465249999659	0	2	5
v88	790.9082170000765	-451.43481300002895	3	13	16
v89	828.5016130000586	-414.92168699996546	4	6	19
v90	774.4881130000576	-468.8271600000444	6	8	11
v91	811.6494010000024	-446.78965200000675	4	5	13
v92	833.9029630000005	-436.09497899992857	4	17	22
v93	198.2720950000221	-115.79492400004528	4	5	8
v94	777.728923000046	-455.21575799997663	9	16	17
